what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336841728844
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336841734788
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336841736178
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336841753679
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336841759917
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336841761967
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336841786877
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336841853268
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336841861718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336841871842
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842039081
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336842055675
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842098238
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842123075
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842123198
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842125515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842127912
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842136065
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842150168
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842153570
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842245177
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842267380
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842267497
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842272759
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842274486
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842292449
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842313994
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842314083
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842316246
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842327965
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842331807
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842339327
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842376386
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842418893
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842427949
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842488584
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1336842493948
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842503521
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842503614
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842527725
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842532994
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842553269
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842564523
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842568230
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842576141
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842586308
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842607306
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842627102
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842628417
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842629132
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842631824
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842717427
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842763688
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842769147
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842780184
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842789063
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842790775
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842795228
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842802005
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842803431
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842812053
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1336842830408
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336842839901
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842843754
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842857033
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842860629
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842869264
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842881867
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842894535
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842896035
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842900889
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336842908141
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842909667
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842916857
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336842982589
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336843026549
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1336843039861
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1336843047499
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336843049434
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336843050785
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336843054080
